Place,District,Type,Budget,Season,Interest,Rating,Approx_Cost,Image_URL,Youtube_Link,Hotel_Budget,Hotel_Budget_Price,Hotel_Premium,Hotel_Premium_Price,Latitude,Longitude,image_url
Kanheri Caves,Mumbai,Historical,Low,All,Cultural,4.5,4500,/static/images/kanheri_caves.jpg,https://www.youtube.com/embed/nOgFnK1hCgk?si=6gn8w3Nb3oZY_nY5,Hotel By the Way,1360,The Westin Mumbai,4500,19.2089,72.9061,https://source.unsplash.com/800x600/?Kanheri%20Caves%2CHistorical%2CMaharashtra
EsselWorld,Mumbai,Nature,Medium,All,Adventure,4.2,6000,/static/images/essel_world.jpg,https://www.youtube.com/embed/5iBWyOEuHR4?si=dDQs_jh2gWYH_UfH,Pali Beach Resort,1350,Sun-n-Sand Hotel,5000,19.2311,72.8051,https://source.unsplash.com/800x600/?EsselWorld%2CNature%2CMaharashtra
Shaniwar Wada,Pune,Historical,Low,All,Cultural,4.4,4500,/static/images/shaniwar_wada.jpg,https://www.youtube.com/embed/84LBez4hFhU?si=auQM_n2TngdgMbF0,Hotel Shreyas,1400,JW Marriott Pune,5500,18.5195,73.8553,https://source.unsplash.com/800x600/?Shaniwar%20Wada%2CHistorical%2CMaharashtra
Aga Khan Palace,Pune,Historical,Low,All,Cultural,4.5,4000,/static/images/aga _khan.jpg,https://www.youtube.com/embed/JS-vG2bBVO0?si=ehOE5_DXPL3vvigL,Hotel Royalty,1500,Conrad Pune,3500,18.5523,73.9015,https://source.unsplash.com/800x600/?Aga%20Khan%20Palace%2CHistorical%2CMaharashtra
Sinhagad Fort,Pune,Fort,Low,Monsoon,Adventure,4.6,4500,/static/images/sinhagad_fort.jpg,https://www.youtube.com/embed/DC4e6JKT5OY?si=xx9epUHOI8VpAqda,Hotel Gandharv,1500,The Ritz-Carlton Pune,4000,18.3663,73.7559,https://source.unsplash.com/800x600/?Sinhagad%20Fort%2CFort%2CMaharashtra
Dagdusheth Ganpati,Pune,Spiritual,Low,All,Spiritual,4.9,4000,/static/images/dagdusheth_ganpati.jpeg,https://www.youtube.com/embed/ExTZI6gspqc?si=GHaxSEY8geXBDwln,Hotel Studio Estique,1400,Sheraton Grand Pune,5000,18.5164,73.856,https://source.unsplash.com/800x600/?Dagdusheth%20Ganpati%2CSpiritual%2CMaharashtra
Osho Ashram,Pune,Spiritual,High,All,Relaxation,4.3,10000,/static/images/oshoasram.jpg,https://www.youtube.com/embed/A8AR5Qibgm8?si=yaoCSxtyFjwflS1E,Hotel Koregaon Park,1450,Westin Pune Koregaon Park,6000,18.5395,73.886,https://source.unsplash.com/800x600/?Osho%20Ashram%2CSpiritual%2CMaharashtra
Pataleshwar Cave Temple,Pune,Historical,Low,All,Cultural,4.3,4000,/static/images/pataleshwar_cave_temple.jpg,https://www.youtube.com/embed/F912edhRjYw?si=7bRua0O4SEauK9oQ,Deccan Rendezvous,1700,Pride Hotel Pune,6000,18.5273,73.8492,https://source.unsplash.com/800x600/?Pataleshwar%20Cave%20Temple%2CHistorical%2CMaharashtra
Raja Dinkar Kelkar Museum,Pune,Historical,Low,All,Cultural,4.4,4000,/static/images/raja_dinkar_kelkar.jpg,https://www.youtube.com/embed/gqbnDi5OaZI?si=DaXIoYxFzI1M2TvS,Hotel Swaroop,1800,Hyatt Regency Pune,5000,18.5113,73.8556,https://source.unsplash.com/800x600/?Raja%20Dinkar%20Kelkar%20Museum%2CHistorical%2CMaharashtra
Saras Baug,Pune,Nature,Low,All,Relaxation,4.2,4000,/static/images/saras-baug-pune1.jpg,https://www.youtube.com/embed/GcJ5duuoZfQ?si=leHH9CrAnINQnXt_,Hotel Saras,1700,Taj Mahal Hotel Pune,4000,18.5028,73.855,https://source.unsplash.com/800x600/?Saras%20Baug%2CNature%2CMaharashtra
Rajgad Fort,Pune,Fort,Low,Winter,Adventure,4.7,4500,/static/images/rajgad_fort.jpg,https://www.youtube.com/embed/6LWlSBcV2nE?si=Sut93GAa9kYkZTls,Fort JadhavGADH,1900,Corinthians Resort,4500,18.2464,73.6822,https://source.unsplash.com/800x600/?Rajgad%20Fort%2CFort%2CMaharashtra
Khadakwasla Dam,Pune,Nature,Low,Monsoon,Relaxation,4.5,4500,/static/images/khadakwsala_dam.jpg,https://www.youtube.com/embed/t1CBKJAyCQs?si=i9VsqpYFn1QhzjC6,Aquarius Resort,2000,Oxford Golf Resort,4500,18.435,73.7634,https://source.unsplash.com/800x600/?Khadakwasla%20Dam%2CNature%2CMaharashtra
Mulshi Dam,Pune,Nature,Medium,Monsoon,Relaxation,4.6,6000,/static/images/mulshi-dam.jpg,https://www.youtube.com/embed/p4HeqOu9Xho?si=ipZ73BrghmvMzjYJ,Basho Resort,1400,Malhar Machi Resort,6000,18.5375,73.5135,https://source.unsplash.com/800x600/?Mulshi%20Dam%2CNature%2CMaharashtra
Lohagad Fort,Pune,Fort,Low,Monsoon,Adventure,4.6,4500,/static/images/lohagad.jpg,https://www.youtube.com/embed/te5cOPBdjuM?si=PCp6YzUImpCq966K,Lonavala Guest House,1700,Fariyas Resort Lonavala,6500,18.7077,73.48,https://source.unsplash.com/800x600/?Lohagad%20Fort%2CFort%2CMaharashtra
Trimbakeshwar Temple,Nashik,Spiritual,Low,All,Spiritual,4.8,4500,/static/images/trimbakeshwar_nashik.jpg,https://www.youtube.com/embed/f76e-dy_gm0?si=yX__DGfkiZP1dtzO,Hotel Sai Yatri,1750,Taj Maraika Nashik,4500,19.932,73.5307,https://source.unsplash.com/800x600/?Trimbakeshwar%20Temple%2CSpiritual%2CMaharashtra
Sula Vineyards,Nashik,Nature,High,Winter,Relaxation,4.6,12000,/static/images/sula_vineyards.jpg,https://www.youtube.com/embed/ockuAAMLq8A?si=BJNJHoqKtUiwIDxX,Ginger Nashik,1800,Beyond by Sula,5000,20.0051,73.6888,https://source.unsplash.com/800x600/?Sula%20Vineyards%2CNature%2CMaharashtra
Pandavleni Caves,Nashik,Historical,Low,All,Cultural,4.4,4500,/static/images/pandavleni_caves_nashik.jpg,https://www.youtube.com/embed/5BHRXubgnYE?si=qVXVR_kky_bPyjYi,Hotel Rajmahal,1900,Express Inn Nashik,5000,19.9575,73.7661,https://source.unsplash.com/800x600/?Pandavleni%20Caves%2CHistorical%2CMaharashtra
Panchavati,Nashik,Spiritual,Low,All,Spiritual,4.5,4000,/static/images/panchvati_nashik.jpg,https://www.youtube.com/embed/M1Hj_6RHZMc?si=XjQPMMEmwI3Ew0_L,Hotel Panchavati,1500,Gateway Hotel Ambad,5500,20.0094,73.7925,https://source.unsplash.com/800x600/?Panchavati%2CSpiritual%2CMaharashtra
Someshwar Waterfall,Nashik,Nature,Low,Monsoon,Nature,4.2,4000,/static/images/someshwar_water_fall.jpg,https://www.youtube.com/embed/saS_ColPr-g?si=u6vBKVnKhSCS9XzU,Hotel Wasan,1500,Courtyard by Marriott,5500,20.0195,73.7196,https://source.unsplash.com/800x600/?Someshwar%20Waterfall%2CNature%2CMaharashtra
Muktidham Temple,Nashik,Spiritual,Low,All,Spiritual,4.4,4000,/static/images/muktidham-nashik.jpg,https://www.youtube.com/embed/JMQSyMOnmH8?si=fKRvoqgf7Aych_3P,Hotel Rama Heritage,1400,Radisson Blu Nashik,5500,19.9566,73.829,https://source.unsplash.com/800x600/?Muktidham%20Temple%2CSpiritual%2CMaharashtra
Harihar Fort,Nashik,Fort,Low,Winter,Adventure,4.7,4500,/static/images/harihar_fort.jpg,https://www.youtube.com/embed/pesgWiuc9jU?si=PFHGmuOPRbdSgs2e,Trimbak Guest House,1200,Taj Maraika Nashik,5500,19.9048,73.4721,https://source.unsplash.com/800x600/?Harihar%20Fort%2CFort%2CMaharashtra
Brahmagiri Hill,Nashik,Hill,Low,Monsoon,Adventure,4.6,4500,/static/images/bhamhagiri_hill_nasik.jpg,https://www.youtube.com/embed/K36kjFJPhKg?si=XnLmlfDQvYImdN_r,Hotel Sai Yatri,1200,Taj Maraika Nashik,5500,19.92,73.523,https://source.unsplash.com/800x600/?Brahmagiri%20Hill%2CHill%2CMaharashtra
Vihigaon Waterfall,Nashik,Nature,Low,Monsoon,Nature,4.3,4500,/static/images/vihigaon_falls_main.jpg,https://www.youtube.com/embed/zETdPc9abyY?si=Sr4GeOPIyqL7F2Ei,Panchavati Guest House,1100,Express Inn Nashik,5500,19.8327,73.4211,https://source.unsplash.com/800x600/?Vihigaon%20Waterfall%2CNature%2CMaharashtra
Dugarwadi Waterfall,Nashik,Nature,Low,Monsoon,Nature,4.5,4500,/static/images/dugarwadi_waterfall.jpg,https://www.youtube.com/embed/3OhqNlHrh04?si=XYlEy5FW6acTeExC,Trimbak Guest House,1500,Gateway Hotel Ambad,5500,19.9678,73.456,https://source.unsplash.com/800x600/?Dugarwadi%20Waterfall%2CNature%2CMaharashtra
Salher Fort,Nashik,Fort,Low,Winter,Adventure,4.6,4500,/static/images/salher_fort.jpg,https://www.youtube.com/embed/RzMv5zkeipU?si=RgZdAw2dVGgBAuY6,Satana Guest House,1300,Radisson Blu Nashik,5500,20.7303,73.9614,https://source.unsplash.com/800x600/?Salher%20Fort%2CFort%2CMaharashtra
Ajanta Caves,Aurangabad,Historical,Medium,All,Cultural,4.9,7000,/static/images/cave_ajanta.jpg,https://www.youtube.com/embed/-bIYpHPZH5Q?si=kNqrNvjcAe-Tz9KV,Hotel Kailas,1350,Vivanta Aurangabad,5500,20.5519,75.7033,https://source.unsplash.com/800x600/?Ajanta%20Caves%2CHistorical%2CMaharashtra
Ellora Caves,Aurangabad,Historical,Medium,All,Cultural,4.8,6000,/static/images/ellora-caves-aurangabad.jpg,https://www.youtube.com/embed/grCJ8--tgsI?si=mRw8-0zUmzHcqf6d,Hotel Kailas,1450,Welcomhotel Rama,4500,20.0258,75.178,https://source.unsplash.com/800x600/?Ellora%20Caves%2CHistorical%2CMaharashtra
Bibi Ka Maqbara,Aurangabad,Historical,Low,All,Cultural,4.5,4500,/static/images/bibi_ka_maqbara.jpg,https://www.youtube.com/embed/k2ww-uBWwXs?si=rKM4hPHWcgXcECQ4,Hotel Panchavati,1250,Lemon Tree Hotel,4500,19.9015,75.3204,https://source.unsplash.com/800x600/?Bibi%20Ka%20Maqbara%2CHistorical%2CMaharashtra
Daulatabad Fort,Aurangabad,Fort,Low,All,Adventure,4.6,4500,/static/images/daulatabad_fort.jpg,https://www.youtube.com/embed/oo-PyjJcaRI?si=l2QlxJbEaPC7jvgM,Hotel AGC,1250,Vivanta Aurangabad,4500,19.9442,75.212,https://source.unsplash.com/800x600/?Daulatabad%20Fort%2CFort%2CMaharashtra
Grishneshwar Temple,Aurangabad,Spiritual,Low,All,Spiritual,4.7,4000,/static/images/grishneshwar_temple.jpg,https://www.youtube.com/embed/65kjs2CBzz4?si=dhpp9Rt5SycygTYE,Hotel Kailas,1200,Welcomhotel Rama,4500,20.0243,75.1706,https://source.unsplash.com/800x600/?Grishneshwar%20Temple%2CSpiritual%2CMaharashtra
Panchakki,Aurangabad,Historical,Low,All,Cultural,4.1,4000,/static/images/panchakki_aurangabad.jpg,https://www.youtube.com/embed/tiNgXv8-5ys?si=e86ZS66y24yQoas7,Hotel Pearls,1400,Lemon Tree Hotel,4500,19.8824,75.3134,https://source.unsplash.com/800x600/?Panchakki%2CHistorical%2CMaharashtra
Jayakwadi Dam,Aurangabad,Nature,Low,Monsoon,Relaxation,4.2,4500,/static/images/jayakwadi_dam.jpg,https://www.youtube.com/embed/eqB5FQ2YGQg?si=v0lQdDUm-ox2YTU4,Paithan Guest House,1500,Vivanta Aurangabad,4500,19.4939,75.3855,https://source.unsplash.com/800x600/?Jayakwadi%20Dam%2CNature%2CMaharashtra
Siddharth Garden,Aurangabad,Nature,Low,All,Nature,4.3,4000,/static/images/siddharth_garden.jpg,https://www.youtube.com/embed/0Fn8H0PpnOw?si=XCH-wHiOxO36g2fy,Hotel AGC,1500,Lemon Tree Hotel,4500,19.8778,75.3218,https://source.unsplash.com/800x600/?Siddharth%20Garden%2CNature%2CMaharashtra
Bani Begum Garden,Aurangabad,Historical,Low,All,Cultural,4,4000,/static/images/bani_begum_garden.jpg,https://www.youtube.com/embed/zXPvPoBBYEg?si=yc_6zHec_YREw1q0,Aurangabad Guest House,1200,Welcomhotel Rama,4500,19.9702,75.1953,https://source.unsplash.com/800x600/?Bani%20Begum%20Garden%2CHistorical%2CMaharashtra
Aurangabad Caves,Aurangabad,Historical,Low,All,Cultural,4.2,4000,/static/images/aurangabad_caves.jpg,https://www.youtube.com/embed/EwCQKI8x8xE?si=PW3kKucCQ7qlGECX,Hotel Panchavati,1200,Vivanta Aurangabad,4500,19.9004,75.3175,https://source.unsplash.com/800x600/?Aurangabad%20Caves%2CHistorical%2CMaharashtra
Pitalkhora Caves,Aurangabad,Historical,Low,All,Cultural,4.1,4500,/static/images/pitalkhora_caves.jpg,https://www.youtube.com/embed/tacyQtUKuBA?si=fTnUvJSMM0Z6E3Cn,Kannad Lodge,1200,Lemon Tree Hotel,4000,20.2635,75.0118,https://source.unsplash.com/800x600/?Pitalkhora%20Caves%2CHistorical%2CMaharashtra
Bhadra Maruti Temple,Aurangabad,Spiritual,Low,All,Spiritual,4.5,4000,/static/images/bhadra_maruti.jpg,https://www.youtube.com/embed/AT_YHazFarY?si=A1XOrIZRAbn_s-uW,Khuldabad Guest House,1300,Welcomhotel Rama,4000,19.9928,75.1873,https://source.unsplash.com/800x600/?Bhadra%20Maruti%20Temple%2CSpiritual%2CMaharashtra
Khuldabad,Aurangabad,Spiritual,Low,All,Spiritual,4.3,4000,/static/images/khuldabad_aurangabad.jpg,https://www.youtube.com/embed/JJSzccwlKxo?si=2TGp7hrscbQj6c_P,Khuldabad Guest House,1300,Vivanta Aurangabad,4000,19.9983,75.1868,https://source.unsplash.com/800x600/?Khuldabad%2CSpiritual%2CMaharashtra
Pratapgad Fort,Mahabaleshwar,Fort,Medium,Monsoon,Adventure,4.6,5000,/static/images/pratapgad.jpg,https://www.youtube.com/embed/5X3VerPp6Og?si=jnnx0o6Sm7C4o2ij,Hotel Dreamland,1500,Le Meridien Mahabaleshwar,4000,17.9264,73.575,https://source.unsplash.com/800x600/?Pratapgad%20Fort%2CFort%2CMaharashtra
Venna Lake,Mahabaleshwar,Nature,Medium,All,Relaxation,4.5,5000,/static/images/venna_lake.jpg,https://www.youtube.com/embed/IpwKhOhu4UU?si=lWDmws7no3hJF2q8,Hotel Rajesh,1600,Evershine Resort,4000,17.9304,73.6669,https://source.unsplash.com/800x600/?Venna%20Lake%2CNature%2CMaharashtra
Arthur's Seat,Mahabaleshwar,Hill,Medium,Winter,Nature,4.7,5000,/static/images/arthur_hill.jpg,https://www.youtube.com/embed/wZnazbsdeD4?si=xsrTIiFSSw6teG2a,Saj Resort,1600,Citrus Chambers,4000,17.962,73.619,https://source.unsplash.com/800x600/?Arthur%27s%20Seat%2CHill%2CMaharashtra
Lingmala Waterfall,Mahabaleshwar,Nature,Medium,Monsoon,Nature,4.5,4500,/static/images/lingmala_waterfall.jpg,https://www.youtube.com/embed/W3bJqqnB5KQ?si=oFZsiDoQG7Kw-LtG,Hotel Shreyas,1600,Courtyard by Marriott,4000,17.9352,73.6876,https://source.unsplash.com/800x600/?Lingmala%20Waterfall%2CNature%2CMaharashtra
Mapro Garden,Mahabaleshwar,Nature,Medium,All,Relaxation,4.6,5000,/static/images/mapro_garden.jpg,https://www.youtube.com/embed/bonZ15Z6j1Y?si=177ldr2WBPWBD6BI,Rutu Farm,1700,Le Meridien Mahabaleshwar,4000,17.9181,73.7432,https://source.unsplash.com/800x600/?Mapro%20Garden%2CNature%2CMaharashtra
Parsi Point,Mahabaleshwar,Hill,Medium,All,Relaxation,4.4,4500,/static/images/parsipoint.jpg,https://www.youtube.com/embed/9GKy3KkIYPk?si=61oPSI65G6ZZ_u2m,Blue Country Resort,1650,Ravine Hotel,6000,17.9167,73.7917,https://source.unsplash.com/800x600/?Parsi%20Point%2CHill%2CMaharashtra
Sydney Point,Mahabaleshwar,Hill,Medium,All,Nature,4.3,4500,/static/images/sydney_point.jpg,https://www.youtube.com/embed/77MVrftfP2Y?si=G8D61_GhrtBWUkQf,Miraya Hotel,1650,Ravine Hotel,6000,17.9326,73.8051,https://source.unsplash.com/800x600/?Sydney%20Point%2CHill%2CMaharashtra
Table Land,Mahabaleshwar,Hill,Medium,All,Adventure,4.5,5000,/static/images/table_land.jpg,https://www.youtube.com/embed/47qmHRedNys?si=C_N6hUqhBItIfQf9,Hotel Malas,1450,Ravine Hotel,6000,17.925,73.8119,https://source.unsplash.com/800x600/?Table%20Land%2CHill%2CMaharashtra
Mahabaleshwar Temple,Mahabaleshwar,Spiritual,Medium,All,Spiritual,4.7,4500,/static/images/mahabeleshwar.jpg,https://www.youtube.com/embed/Jt4kbwWb3LE?si=xohGoy4Q9ggqKerp,Hotel Dreamland,1200,Le Meridien Mahabaleshwar,6000,17.9547,73.6558,https://source.unsplash.com/800x600/?Mahabaleshwar%20Temple%2CSpiritual%2CMaharashtra
Connaught Peak,Mahabaleshwar,Hill,Medium,Winter,Nature,4.4,4500,/static/images/connaught_peak.jpg,https://www.youtube.com/embed/0CXnM3WFhbw?si=EXTRgv-noEzQsjgS,Saj Resort,1500,Citrus Chambers,6000,17.9405,73.6493,https://source.unsplash.com/800x600/?Connaught%20Peak%2CHill%2CMaharashtra
Wilson Point,Mahabaleshwar,Hill,Medium,All,Nature,4.5,4500,/static/images/wilson_point.jpg,https://www.youtube.com/embed/t-bMiA4S_M0?si=PdVgLB7dZX5SuWK0,Hotel Rajesh,1300,Evershine Resort,6000,17.9222,73.6816,https://source.unsplash.com/800x600/?Wilson%20Point%2CHill%2CMaharashtra
Kate's Point,Mahabaleshwar,Hill,Medium,All,Nature,4.6,4500,/static/images/kate_point.jpg,https://www.youtube.com/embed/RophLbJ_j1Y?si=6LfxOixO4u2iD-aI,Blue Country Resort,1600,Le Meridien Mahabaleshwar,6000,17.945,73.7042,https://source.unsplash.com/800x600/?Kate%27s%20Point%2CHill%2CMaharashtra
Alibaug Beach,Raigad,Beach,Medium,Winter,Relaxation,4.2,5500,/static/images/alibagh_beach.jpg,https://www.youtube.com/embed/F_IktWPL6V0?si=x9iqAWMxsOryb6Eu,Hotel Guruji,1700,Radisson Blu Resort,6000,18.6416,72.8687,https://source.unsplash.com/800x600/?Alibaug%20Beach%2CBeach%2CMaharashtra
Murud Janjira Fort,Raigad,Fort,Medium,Winter,Adventure,4.7,6000,/static/images/murud_janjira.jpg,https://www.youtube.com/embed/p0OukMISQ4M?si=T7Vb-nyd4ZfjuFMR,Golden Swan Beach Resort,1600,Kashid Beach Resort,6000,18.3005,72.9642,https://source.unsplash.com/800x600/?Murud%20Janjira%20Fort%2CFort%2CMaharashtra
Kashid Beach,Raigad,Beach,Medium,All,Relaxation,4.6,6000,/static/images/kashid_beach.jpg,https://www.youtube.com/embed/enfvNIdBEmY?si=-Ik_u-wT6DJB5Aty,Kashid Boutique Lodge,1700,Prakruti Resorts,6000,18.4355,72.909,https://source.unsplash.com/800x600/?Kashid%20Beach%2CBeach%2CMaharashtra
Raigad Fort,Raigad,Fort,Low,Winter,Adventure,4.8,4500,/static/images/rajgad_fort.jpg,https://www.youtube.com/embed/LTQDgb7r9K4?si=ODN7VdzhTjLv2Y0U,Kokan Raj,1400,Novotel Imagicaa,6000,18.2346,73.4463,https://source.unsplash.com/800x600/?Raigad%20Fort%2CFort%2CMaharashtra
Harihareshwar Beach,Raigad,Beach,Low,Winter,Spiritual,4.5,5000,/static/images/harihareshwar_beach.jpg,https://www.youtube.com/embed/IU6AEemjB3M?si=KzJ0cZlHT7OjaN_v,MTDC Harihareshwar,1600,Gokul Guest House,6000,17.9942,73.0234,https://source.unsplash.com/800x600/?Harihareshwar%20Beach%2CBeach%2CMaharashtra
Diveagar Beach,Raigad,Beach,Low,Winter,Relaxation,4.6,5000,/static/images/diveager_beach.jpg,https://www.youtube.com/embed/hGhy6TCjdtU?si=93fjkBuJnT203LZP,Exotica By The Sea,1600,Sairaj Beach Resort,5500,18.1691,72.9866,https://source.unsplash.com/800x600/?Diveagar%20Beach%2CBeach%2CMaharashtra
Tarkarli Beach,Sindhudurg,Beach,High,Winter,Adventure,4.8,8000,/static/images/tarkarli_beach.jpg,https://www.youtube.com/embed/oxWqThlRAz4?si=2LtHS-r6o-OhcrD7,MTDC Tarkarli,1600,Fantasea Beach Resort,4000,16.0357,73.4764,https://source.unsplash.com/800x600/?Tarkarli%20Beach%2CBeach%2CMaharashtra
Sindhudurg Fort,Sindhudurg,Fort,Medium,Winter,Cultural,4.7,5500,/static/images/sindhudurga_fort.jpg,https://www.youtube.com/embed/QeoO7l19QcM?si=7cLkn_lSF0mxhE6t,Aviska Retreat,1600,Blue Water Resort,4000,16.023,73.456,https://source.unsplash.com/800x600/?Sindhudurg%20Fort%2CFort%2CMaharashtra
Ganpatipule Beach,Ratnagiri,Beach,Medium,Winter,Spiritual,4.7,6000,/static/images/ganapatipule_ratnagiri.jpg,https://www.youtube.com/embed/4HdTF71ZZzI?si=QSUrX-RiSAWZT74A,MTDC Ganpatipule,1600,Blue Ocean Resort,5500,17.1437,73.2685,https://source.unsplash.com/800x600/?Ganpatipule%20Beach%2CBeach%2CMaharashtra
Ratnagiri Lighthouse,Ratnagiri,Historical,Low,All,Nature,4.4,4500,/static/images/ratnagiri_lighthouse.jpg,https://www.youtube.com/embed/UnJcuju1K9A?si=pfzsYMd2fBeGpQgo,Hotel Sea Fans,1600,Kohinoor Samudra Beach Resort,5000,16.9839,73.273,https://source.unsplash.com/800x600/?Ratnagiri%20Lighthouse%2CHistorical%2CMaharashtra
Jaigad Fort,Ratnagiri,Fort,Low,Winter,Cultural,4.3,4500,/static/images/jaigad.jpg,https://www.youtube.com/embed/_OnnRsfHSe8?si=l8g_rw2DO5R9yDkb,Sea View Lodge,1700,Blue Ocean Resort,4600,17.2917,73.2185,https://source.unsplash.com/800x600/?Jaigad%20Fort%2CFort%2CMaharashtra
Vijaydurg Fort,Sindhudurg,Fort,Low,Winter,Cultural,4.5,4500,/static/images/vijaydurga.jpg,https://www.youtube.com/embed/zUJ6HcB_gnI?si=8SS7bkJei8mS3CJl,Vijaydurg Lodge,1500,Blue Water Resort,4600,16.5594,73.3333,https://source.unsplash.com/800x600/?Vijaydurg%20Fort%2CFort%2CMaharashtra
Devbagh Beach,Sindhudurg,Beach,Medium,Winter,Relaxation,4.7,6000,/static/images/devbagh_beach.jpg,https://www.youtube.com/embed/_h4GkwizI5Q?si=nCgaW6UbywLPswbr,Sea Breeze Tarkarli,1200,Fantasea Beach Resort,4600,15.9868,73.4545,https://source.unsplash.com/800x600/?Devbagh%20Beach%2CBeach%2CMaharashtra
Kolhapur Mahalaxmi,Kolhapur,Spiritual,Medium,All,Spiritual,4.9,5000,/static/images/mahalaxmi_temple.jpg,https://www.youtube.com/embed/N-850svCNF4?si=4JC1aKXsW_14ARCA,Hotel Panchshil,1500,Sayaji Hotel Kolhapur,4600,16.6961,74.2263,https://source.unsplash.com/800x600/?Kolhapur%20Mahalaxmi%2CSpiritual%2CMaharashtra
Panhala Fort,Kolhapur,Fort,Low,Monsoon,Adventure,4.7,4500,/static/images/panhala_fort.jpg,https://www.youtube.com/embed/twoeJ6ql3mE?si=_PmRGCu2is91Jyff,Valley View Grand,1500,Sayaji Hotel Kolhapur,4600,16.8157,74.1077,https://source.unsplash.com/800x600/?Panhala%20Fort%2CFort%2CMaharashtra
